timestamp,x,y,z
2100874,0.12,0.12,0.24
2100977,0.18,0.12,0.24
2101079,0.06,0.12,0.18
2101181,-0.06,0.18,0.24
2101284,0.18,0.12,0.37
2101386,0.37,0.12,0.24
2101489,0.24,0.31,0.43
2101592,-0.18,0.31,0.12
2101695,0.24,0.12,0.24
2101798,-0.06,0.18,0.31
2101900,0.0,0.12,0.18
2102002,0.31,0.06,0.18
2102105,0.24,0.12,0.24
2102207,0.24,0.12,0.31
2102309,0.18,0.12,0.18
2102411,0.18,0.18,0.24
2102514,0.18,0.06,0.18
2102616,0.06,0.12,0.24
2102718,0.18,0.12,0.24
2102821,0.0,0.12,0.18
2102923,0.18,0.12,0.24
2103025,0.0,0.12,0.24
2103128,0.06,0.12,0.31
2103230,0.06,0.12,0.18
2103332,0.31,0.06,0.24
2103435,0.06,0.18,0.24
2103537,0.18,0.12,0.18
2103639,0.37,0.06,0.12
2103742,0.12,0.12,0.24
2103844,0.24,0.18,0.24
2103947,0.24,0.06,0.24
2104049,-0.24,0.24,0.31
2104152,0.43,-0.06,0.0
2104254,0.12,0.18,0.24
2104356,-0.06,0.12,0.12
2104459,0.31,0.12,0.18
2104563,-0.06,0.18,0.24
2104666,0.0,0.12,0.06
2104768,0.06,0.18,0.24
2104871,0.31,0.06,0.18
2104973,0.12,0.12,0.18
2105075,0.12,0.12,0.18
2105178,0.18,0.12,0.24
2105280,0.24,0.12,0.18
2105383,0.18,0.12,0.24
2105485,0.24,0.06,0.18
2105588,0.12,0.18,0.24
2105691,0.24,0.06,0.18
2105794,0.12,0.12,0.18
2105896,0.12,0.12,0.24
2105999,0.12,0.12,0.24
2106101,0.18,0.12,0.24
2106204,0.18,0.12,0.24
2106307,0.12,0.18,0.24
2106409,0.24,0.06,0.12
2106512,-0.18,0.18,0.31
2106616,0.06,0.18,0.18
2106718,0.06,0.12,0.24
2106820,0.06,0.24,0.31
2106923,0.0,0.18,0.18
2107026,-0.06,0.24,0.18
2107128,0.18,0.12,0.31
2107231,0.37,0.12,0.31
2107333,0.12,0.18,0.24
2107436,0.06,0.12,0.18
2107539,0.24,0.12,0.24
2107641,-0.12,0.24,0.31
2107744,0.37,0.06,0.24
2107846,0.06,0.12,0.12
2107949,0.18,0.12,0.31
2108051,0.37,0.06,0.24
2108154,0.12,0.12,0.24
2108257,0.18,0.06,0.18
2108359,0.12,0.12,0.31
2108462,0.12,0.12,0.24
2108565,0.12,0.12,0.31
2108667,0.12,0.12,0.12
2108770,0.24,0.12,0.31
2108873,0.06,0.12,0.24
2108976,0.12,0.12,0.24
